##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): March 22, 2017, 9:07 p.m.
## Download Date (Y/M/D): 2017/03/29
##
## Query String: ##{&quot;sort&quot;:&quot;kic&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;-2&quot;],&quot;etvlong&quot;:true,&quot;Puflag&quot;:true,&quot;etvshort&quot;:true,&quot;incat1&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;pteff&quot;,&quot;cteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;koi&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;figs&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;kois&quot;:[]}
##
KIC,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,RA,DEC,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),KOI,SC,
2569494,3704,1,1.5233235,0.0000102,55000.349187,0.060781,0.1557,-1.0000,0.1160,-1.0000,1.0000,0.58,290.1788,37.8490,70.0144,10.9676,17.3800,5114.0000,-1.0000,-1.0000,True,True,
2720354,-1,1,2.8213281,0.0000047,54956.215382,0.035955,0.0735,0.0095,0.0689,0.0393,0.5003,0.46,293.0361,37.9547,71.1400,9.0016,13.1160,6513.0000,6754.0000,6642.0000,False,False,
2860788,-1,1,5.2597422,0.0000116,54965.066911,0.041162,0.0998,0.0915,0.0423,0.0427,0.4997,0.37,293.2073,38.0090,71.2519,8.9071,14.0430,5319.0000,5564.0000,-9999.0000,False,False,
3248332,-1,1,7.3636066,0.0000187,54956.975010,0.036772,0.1249,0.0974,0.0270,0.0216,0.5262,0.20,294.6647,38.3330,72.0848,8.0474,13.1020,6578.0000,6795.0000,7160.0000,False,False,
3858884,-1,1,25.9519309,0.0001135,54961.928697,0.095929,0.3731,0.3025,0.0207,0.0293,0.7705,0.14,293.6954,38.9828,72.3046,9.0210,9.2770,-1.0000,-1.0000,-1.0000,False,True,
3965242,-1,1,0.9967236,0.0000010,54964.911763,0.014810,0.0322,-1.0000,0.0470,-1.0000,1.0000,0.53,294.3213,39.0389,72.5851,8.6175,14.0600,5183.0000,5383.0000,5023.0000,False,False,
4547480,6116,1,4.4269474,0.0000091,54966.563088,0.011654,0.0027,-1.0000,0.0150,-1.0000,1.0000,0.12,287.1381,39.6736,70.6849,13.8866,15.4690,5335.0000,5584.0000,5658.0000,True,False,
4569590,-1,1,41.3701999,0.0002188,55039.730861,0.624610,0.0176,0.0030,0.0824,0.0759,0.5008,0.48,293.8623,39.6901,72.9995,9.2359,12.7990,4588.0000,4762.0000,4556.0000,False,False,
5098444,637,1,26.9489863,0.0001193,54984.022681,0.081557,0.0185,0.0027,0.0165,0.0321,0.6387,0.14,291.5633,40.2678,72.7091,11.0677,13.7710,4615.0000,4917.0000,4813.0000,True,True,
5393558,-1,1,10.2171033,0.0000303,54970.245634,0.026597,0.1805,0.1060,0.0148,0.0212,0.4850,0.12,299.1868,40.5017,75.7219,6.0793,13.7520,5676.0000,5890.0000,5953.0000,False,False,
